Label,Message
Cab,"Thank you for choosing KSRTC for 2011-01-13 at 4:21. Cab:KA52G3561 , Chauffer: Victor, Cell: 9483725328 will reach you. T&C apply, visit www.KSRTC.com"
Movie,"Hi Customer, Booking ID: WE0WDVA. Seats: GOLD-J11,J12, 2 seat(s) for The Legend of Tarzan on 2011-03-26 10:18 at INOX: Central, JP Nagar, Mantri Junction. Please carry your CC/DC card which was used for booking tickets."
Reservation,"[Dai pai dong stall] Hi Ruben, your reservation is confirmed for 19 people on 2013-03-17 at 12:20. We can hold your table for a maximum of 16 mins."
Expiry,Lakshmi Auto Agency : Service of your car KA65Q2288 is due in 47 days on 2015-08-05. Please contact us at 9554535545 to book a service.
Expiry,Maha Veer Auto Agency : Service of your car KA15E5263 is due in 17 days on 2011-01-27. Please contact us at 9232234646 to book a service.
Delivery,"Dear Guest, Thanks for choosing dunkin donuts. Order ID 5141. Delivery by 2012-07-25 14:27. Enjoy 8% discount on your next purchase. Code X1UF2V. T&C."
Train,"PNR:6465253864,TRAIN:4378,DOJ:2010-12-10,AC3,ATRU-BAY,Dep:23:16, Drew,B7 85 , Fare:8134,SC:10.0+PG+INS"
Flight,The PNR for your Air India Flt 6G361 for CCJ-AJL on 2012-01-05 at 2:27 hrs  is MY74R3. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Reservation,"[Kianti 's] Hi Trey, your reservation is confirmed for 12 people on 2014-12-05 at 6:15. We can hold your table for a maximum of 44 mins."
Flight,The PNR for your JET Airways Flt 6I751 for HJR-IDR on 2014-04-09 at 22:39 hrs  is D98QR3. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Cab,"Thank you for choosing AirportTaxi for 2012-03-10 at 18:29. Cab:KA55D8183 , Chauffer: Raymond, Cell: 9877337336 will reach you. T&C apply, visit www.AirportTaxi.com"
Hotel,"Welcome to Smitty 's R.No. 480, 302 Ch.In 2013-11-13 22:46 Ch.out 2013-12-09 12:00."
Appointment,"DEAR Ryan, THANK YOU FOR YOUR BOOKING (ORDER ID: 82247), YOUR ORDER HAS BEEN ASSIGNED TO Raul(9712111887) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2014-04-09 at 8:12. FOR ASSISTANCE WHATSAPP US ON 8326663123."
Cab,"Thank you for choosing radiocabs for 2015-05-24 at 22:45. Cab:KA56W8371 , Chauffer: Landon, Cell: 9287233458 will reach you. T&C apply, visit www.radiocabs.com"
Reservation,"[Coffee roasters] Hi Chase, your reservation is confirmed for 5 people on 2012-01-15 at 6:10. We can hold your table for a maximum of 24 mins."
Payment,Bill dated 2015-02-16 for Rs 340 has been generated for your Idea fixedline/broadband relationship no. 37314147. The same will reach you by 2015-02-19. Due date: 2015-03-03.
Hotel,"Welcome to Royal Palms State Beach R.No. 544, 410, 227, 404 Ch.In 2013-08-03 20:48 Ch.out 2013-08-23 12:00."
Expiry,Aryan Auto Agency : Service of your car KA75G7771 is due in 48 days on 2012-07-06. Please contact us at 9866387412 to book a service.
Delivery,"Dear Guest, Thanks for choosing Covina. Order ID 2516. Delivery by 2009-10-06 0:55. Enjoy 27% discount on your next purchase. Code KV5CK3. T&C."
Cab,"Thank you for choosing Uber for 2015-02-15 at 15:35. Cab:KA66W7452 , Chauffer: Henry, Cell: 9832311652 will reach you. T&C apply, visit www.Uber.com"
Cab,"Thank you for choosing AirportTaxi for 2009-10-29 at 20:20. Cab:KA78H3786 , Chauffer: Aiden, Cell: 9823782838 will reach you. T&C apply, visit www.AirportTaxi.com"
Appointment,"DEAR Jake, THANK YOU FOR YOUR BOOKING (ORDER ID: 61741), YOUR ORDER HAS BEEN ASSIGNED TO Tanner(9758352445) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2010-06-25 at 21:14. FOR ASSISTANCE WHATSAPP US ON 8775442473."
Hotel,Welcome to Crown Holdings R.No. 590 Ch.In 2015-05-24 19:42 Ch.out 2015-06-21 12:00.
Flight,The PNR for your INDIGO Flt 2T877 for SXV-SHL on 2012-01-27 at 2:39 hrs  is DFBSXA. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Delivery,"Dear Guest, Thanks for choosing MOD Pizza. Order ID 7535. Delivery by 2012-07-21 18:54. Enjoy 13% discount on your next purchase. Code XJBI6W. T&C."
Appointment,"DEAR Hunter, THANK YOU FOR YOUR BOOKING (ORDER ID: 64474), YOUR ORDER HAS BEEN ASSIGNED TO Grant(9216741445) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2010-04-25 at 20:36. FOR ASSISTANCE WHATSAPP US ON 8444421152."
Payment,Bill dated 2012-12-27 for Rs 104 has been generated for your Airtel fixedline/broadband relationship no. 28276354. The same will reach you by 2012-12-30. Due date: 2013-01-11.
Train,"PNR:5622323888,TRAIN:37342,DOJ:2010-04-11,SL,ATH-BDWD,Dep:10:26, Jackson,S6 16 , Fare:7635,SC:10.0+PG+INS"
Hotel,"Welcome to Adventurers Family Entertainment Center R.No. 528, 232, 300, 327 Ch.In 2014-11-09 8:29 Ch.out 2014-11-23 12:00."
Flight,The PNR for your Air India Flt 5V536 for LKO-JGB on 2011-02-19 at 0:36 hrs  is WINTWO. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Cab,"Thank you for choosing Meru for 2013-12-29 at 17:28. Cab:KA33G7743 , Chauffer: Ruben, Cell: 9556243266 will reach you. T&C apply, visit www.Meru.com"
Train,"PNR:4144484521,TRAIN:83615,DOJ:2013-10-08,AC3,AKP-BVL,Dep:7:32, Hector,B7 37 , Fare:694,SC:10.0+PG+INS"
Reservation,"[Marco 's Pizza] Hi Dominic, your reservation is confirmed for 4 people on 2014-02-21 at 11:15. We can hold your table for a maximum of 39 mins."
Train,"PNR:5425872318,TRAIN:38647,DOJ:2013-12-22,FC,BKLE-BRNA,Dep:19:21, George,F3 16 , Fare:2356,SC:10.0+PG+INS"
Flight,The PNR for your AirAsia Flt 1V737 for CJB-PAB on 2010-01-14 at 17:51 hrs  is XZ60FC. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Reservation,"[Cafe de Coral] Hi Dominic, your reservation is confirmed for 9 people on 2015-01-14 at 13:14. We can hold your table for a maximum of 24 mins."
Bus,"* KSRTC m-Ticket *  from: DAVANEGERE to: SECUNDERABAD PsngrName: Derrick TripCode: 1755DAVSEC PNR No.: J70346207 JnyDate: 2011-02-15 DepTime: 17:55  SeatNo.: 22, 7  Class: Non-AC Sleeper  BoardingPt: DAVANEGERE Rly Station Txn Password: 1171 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Cab,"Thank you for choosing Ola for 2013-01-28 at 2:28. Cab:KA64R2573 , Chauffer: Justin, Cell: 9766433764 will reach you. T&C apply, visit www.Ola.com"
Appointment,Appointment with Dr Lucas in Chennai on 2011-09-26 at 21:45 is confirmed. For queries call 1800 7723 7255. Your appt. might get delayed in case the doctor is attending an emergency.
Movie,"Hi Customer, Booking ID: W3PJGD3. Seats: PLATINUM-D8, 1 seat(s) for X-Men: Apocalypse on 2010-10-07 12:13 at Rex Theatre: Brigade Road. Please carry your CC/DC card which was used for booking tickets."
Appointment,Appointment with Dr Joel in Bengaluru on 2011-08-15 at 20:55 is confirmed. For queries call 1800 7744 1442. Your appt. might get delayed in case the doctor is attending an emergency.
Hotel,"Welcome to Fort Brule R.No. 539, 435, 207 Ch.In 2012-10-18 3:33 Ch.out 2012-10-24 12:00."
Payment,Bill dated 2014-06-18 for Rs 880 has been generated for your Jio fixedline/broadband relationship no. 84277421. The same will reach you by 2014-06-21. Due date: 2014-07-03.
Appointment,"DEAR Nicholas, THANK YOU FOR YOUR BOOKING (ORDER ID: 87858), YOUR ORDER HAS BEEN ASSIGNED TO Jeffrey(9436335112) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2011-05-19 at 22:32. FOR ASSISTANCE WHATSAPP US ON 8251728768."
Train,"PNR:8868415215,TRAIN:21527,DOJ:2011-10-14,SL,BAF-BJE,Dep:16:31, Johnathan,S7 60 , Fare:3237,SC:10.0+PG+INS"
Delivery,"Dear Guest, Thanks for choosing Food kiosk. Order ID 5268. Delivery by 2011-02-03 8:36. Enjoy 10% discount on your next purchase. Code CEZPDT. T&C."
Expiry,Aryan Auto Agency : Service of your car KA15D3716 is due in 81 days on 2012-03-09. Please contact us at 9348111212 to book a service.
Flight,The PNR for your INDIGO Flt 3R761 for NAG-CCU on 2010-09-06 at 8:50 hrs  is NKBE4L. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Flight,The PNR for your Air India Flt 5B463 for NDC-TEZ on 2011-10-11 at 7:14 hrs  is SYAH6C. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Appointment,"DEAR John, THANK YOU FOR YOUR BOOKING (ORDER ID: 45886), YOUR ORDER HAS BEEN ASSIGNED TO Roberto(9813481714) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2014-08-21 at 8:47. FOR ASSISTANCE WHATSAPP US ON 8417874851."
Hotel,"Welcome to Whittlesey Creek National Wildlife Refuge R.No. 483, 487 Ch.In 2015-06-06 2:35 Ch.out 2015-07-01 12:00."
Movie,"Hi Customer, Booking ID: WTXHJJE. Seats: STANDARD-J10,J11,J12,J13,J14, 5 seat(s) for Zootopia on 2011-03-26 20:55 at Triveni Theatre: Gandhinagar. Please carry your CC/DC card which was used for booking tickets."
Bus,"* KSRTC m-Ticket *  from: THIRUNALLAR to: PALAKKAD PsngrName: Matthew TripCode: 2129THIPAL PNR No.: J69156479 JnyDate: 2011-07-05 DepTime: 21:29  SeatNo.: 32, 4, 39, 9, 43, 12, 47, 18, 28  Class: AC Sleeper  BoardingPt: THIRUNALLAR Rly Station Txn Password: 2786 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
PickUp,"Repair ref.no for your car is JC64826414 opened on 2015-01-17 4:36hrs,ETD of your car is 2015-01-18 0:13hrs and est.repair amt is Rs.2580 Rgds, Maha Veer Auto Agency"
Train,"PNR:3612872521,TRAIN:5848,DOJ:2014-06-06,FC,BAO-BGP,Dep:6:50, Jacob,F6 21 , Fare:4997,SC:10.0+PG+INS"
Payment,Bill dated 2014-01-11 for Rs 476 has been generated for your Aircel fixedline/broadband relationship no. 36623418. The same will reach you by 2014-01-14. Due date: 2014-01-26.
Train,"PNR:7844561583,TRAIN:1551,DOJ:2013-06-28,SL,BOD-BRD,Dep:11:45, Nicholas,S9 87 , Fare:8841,SC:10.0+PG+INS"
PickUp,"Repair ref.no for your car is JC75713515 opened on 2014-03-12 17:15hrs,ETD of your car is 2014-03-13 17:26hrs and est.repair amt is Rs.2551 Rgds, Lakshmi Auto Agency"
Train,"PNR:2181626231,TRAIN:6173,DOJ:2011-11-09,FC,APL-BEP,Dep:7:20, Bryce,F2 72 , Fare:8528,SC:10.0+PG+INS"
PickUp,"Repair ref.no for your car is JC31822181 opened on 2014-05-15 3:14hrs,ETD of your car is 2014-05-16 10:56hrs and est.repair amt is Rs.2036 Rgds, Maha Veer Auto Agency"
PickUp,"Repair ref.no for your car is JC22558153 opened on 2010-05-25 18:24hrs,ETD of your car is 2010-05-26 14:51hrs and est.repair amt is Rs.2492 Rgds, Aryan Auto Agency"
Cab,"Thank you for choosing Meru for 2015-03-19 at 12:42. Cab:KA85T4477 , Chauffer: Marcus, Cell: 9121545677 will reach you. T&C apply, visit www.Meru.com"
Cab,"Thank you for choosing AirportTaxi for 2012-08-10 at 11:26. Cab:KA81R4171 , Chauffer: Paul, Cell: 9225566317 will reach you. T&C apply, visit www.AirportTaxi.com"
Train,"PNR:8255777386,TRAIN:7884,DOJ:2013-06-16,AC3,AMC-BEB,Dep:9:44, Shawn,B4 66 , Fare:6663,SC:10.0+PG+INS"
Expiry,Aryan Auto Agency : Service of your car KA38E3372 is due in 13 days on 2010-01-22. Please contact us at 9248721676 to book a service.
Payment,Bill dated 2013-12-09 for Rs 567 has been generated for your Aircel fixedline/broadband relationship no. 38744287. The same will reach you by 2013-12-12. Due date: 2013-12-24.
Flight,The PNR for your JET Airways Flt 2U553 for NMB-DIB on 2010-06-05 at 2:34 hrs  is D616LM. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Appointment,Appointment with Dr Griffin in HASSAN on 2015-07-25 at 23:43 is confirmed. For queries call 1800 1453 2657. Your appt. might get delayed in case the doctor is attending an emergency.
Delivery,"Dear Guest, Thanks for choosing Martin 's BBQ. Order ID 7217. Delivery by 2010-09-04 3:17. Enjoy 3% discount on your next purchase. Code NLU5F1. T&C."
Bus,"* KSRTC m-Ticket *  from: Shirdi to: Vijayawada PsngrName: Martin TripCode: 1032ShiVij PNR No.: J86656513 JnyDate: 2010-09-01 DepTime: 10:32  SeatNo.: 7, 41, 45, 16, 54, 55, 25  Class: AC chair  BoardingPt: Shirdi Rly Station Txn Password: 3548 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Appointment,Appointment with Dr Tyler in MANTRALAYA on 2015-01-01 at 16:28 is confirmed. For queries call 1800 6223 6165. Your appt. might get delayed in case the doctor is attending an emergency.
Expiry,Bimal Auto Agency : Service of your car KA48V7523 is due in 58 days on 2011-09-22. Please contact us at 9347553131 to book a service.
Expiry,True Value : Service of your car KA13P3145 is due in 17 days on 2010-12-19. Please contact us at 9136687733 to book a service.
PickUp,"Repair ref.no for your car is JC46464748 opened on 2012-12-14 15:17hrs,ETD of your car is 2012-12-15 3:17hrs and est.repair amt is Rs.1052 Rgds, Aryan Auto Agency"
PickUp,"Repair ref.no for your car is JC74324553 opened on 2011-07-03 0:57hrs,ETD of your car is 2011-07-04 11:18hrs and est.repair amt is Rs.2398 Rgds, Maha Veer Auto Agency"
Delivery,"Dear Guest, Thanks for choosing Howard Johnson 's. Order ID 4467. Delivery by 2009-12-04 21:27. Enjoy 10% discount on your next purchase. Code QTU9ZU. T&C."
Flight,The PNR for your AirAsia Flt 1Q431 for BBI-TEI on 2011-01-26 at 21:11 hrs  is ZTV8VW. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Movie,"Hi Customer, Booking ID: W3G6O5F. Seats: STANDARD-K16,K17,K18,K19, 4 seat(s) for Sing on 2013-10-20 21:35 at Rex Theatre: Brigade Road. Please carry your CC/DC card which was used for booking tickets."
Cab,"Thank you for choosing radiocabs for 2013-05-16 at 19:10. Cab:KA66K8285 , Chauffer: Bradley, Cell: 9642365156 will reach you. T&C apply, visit www.radiocabs.com"
Train,"PNR:7831231658,TRAIN:66453,DOJ:2013-08-11,AC3,ANDN-BJI,Dep:2:23, Jacob,B2 65 , Fare:6450,SC:10.0+PG+INS"
Cab,"Thank you for choosing taxiforsure for 2011-11-04 at 8:39. Cab:KA67C3735 , Chauffer: Maxwell, Cell: 9182787565 will reach you. T&C apply, visit www.taxiforsure.com"
Bus,"* KSRTC m-Ticket *  from: Coimbatore to: Panaji Goa PsngrName: Drake TripCode: 738CoiPan PNR No.: J55246377 JnyDate: 2012-04-06 DepTime: 7:38  SeatNo.: 32, 8, 44, 49, 56, 27, 30  Class: AC chair  BoardingPt: Coimbatore MG Road Txn Password: 8281 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Train,"PNR:7757742184,TRAIN:4368,DOJ:2011-12-18,SL,BJR-BHU,Dep:15:58, Troy,S9 46 , Fare:8404,SC:10.0+PG+INS"
PickUp,"Repair ref.no for your car is JC78743431 opened on 2009-10-31 19:43hrs,ETD of your car is 2009-11-01 9:36hrs and est.repair amt is Rs.591 Rgds, Hyundai Auto Agency"
Bus,"* KSRTC m-Ticket *  from: Coimbatore to: Belagavi PsngrName: Kaiden TripCode: 1630CoiBel PNR No.: J35443515 JnyDate: 2013-10-22 DepTime: 16:30  SeatNo.: 5, 47, 10, 13, 46, 15, 53, 27  Class: Non-AC Sleeper  BoardingPt: Coimbatore Residency Road Txn Password: 1366 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Bus,"* KSRTC m-Ticket *  from: Kozhikode to: KODAIKANAL PsngrName: Joel TripCode: 843KozKOD PNR No.: J39351966 JnyDate: 2010-09-17 DepTime: 8:43  SeatNo.: 34, 47  Class: AC Sleeper  BoardingPt: Kozhikode Rly Station Txn Password: 8233 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Cab,"Thank you for choosing AirportTaxi for 2012-05-10 at 7:52. Cab:KA22U3477 , Chauffer: Ashton, Cell: 9828868132 will reach you. T&C apply, visit www.AirportTaxi.com"
Payment,Bill dated 2013-09-02 for Rs 276 has been generated for your Idea fixedline/broadband relationship no. 72131782. The same will reach you by 2013-09-05. Due date: 2013-09-17.
Flight,The PNR for your JET Airways Flt 2N318 for ZER-RRK on 2014-08-15 at 21:41 hrs  is IFDNYG. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
PickUp,"Repair ref.no for your car is JC53218663 opened on 2010-10-15 3:37hrs,ETD of your car is 2010-10-16 4:50hrs and est.repair amt is Rs.873 Rgds, Maruti Auto Agency"
Payment,Bill dated 2010-07-11 for Rs 1055 has been generated for your Docomo fixedline/broadband relationship no. 31214778. The same will reach you by 2010-07-14. Due date: 2010-07-26.
Delivery,"Dear Guest, Thanks for choosing Hot Doug 's. Order ID 7283. Delivery by 2012-03-08 21:18. Enjoy 25% discount on your next purchase. Code I537Z1. T&C."
Payment,Bill dated 2011-10-26 for Rs 925 has been generated for your Airtel fixedline/broadband relationship no. 76677333. The same will reach you by 2011-10-29. Due date: 2011-11-10.
Cab,"Thank you for choosing taxiforsure for 2014-10-06 at 9:33. Cab:KA87Y3434 , Chauffer: Eric, Cell: 9528284735 will reach you. T&C apply, visit www.taxiforsure.com"
Cab,"Thank you for choosing taxiforsure for 2013-10-23 at 2:16. Cab:KA32W3182 , Chauffer: Aidan, Cell: 9383242611 will reach you. T&C apply, visit www.taxiforsure.com"
Bus,"* KSRTC m-Ticket *  from: KASARGOD to: KOLHAPUR PsngrName: Andrew TripCode: 1112KASKOL PNR No.: J37389775 JnyDate: 2011-04-29 DepTime: 11:12  SeatNo.: 48, 28  Class: Non-AC chair  BoardingPt: KASARGOD Residency Road Txn Password: 2713 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Delivery,"Dear Guest, Thanks for choosing Hurley Mountain Inn. Order ID 2357. Delivery by 2013-01-10 20:35. Enjoy 12% discount on your next purchase. Code Y4VYBN. T&C."
Expiry,Maha Veer Auto Agency : Service of your car KA21E5335 is due in 76 days on 2011-12-05. Please contact us at 9353722478 to book a service.
Train,"PNR:4755517322,TRAIN:41468,DOJ:2012-08-14,SL,BMKI-BSL,Dep:10:28, Trevor,S9 16 , Fare:2485,SC:10.0+PG+INS"
Movie,"Hi Customer, Booking ID: WBL7UTZ. Seats: PLATINUM-J6,J7, 2 seat(s) for X-Men: Apocalypse on 2012-04-04 23:12 at PVR: Forum Gold, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
Cab,"Thank you for choosing taxiforsure for 2013-08-23 at 12:23. Cab:KA85H4824 , Chauffer: Cody, Cell: 9256467387 will reach you. T&C apply, visit www.taxiforsure.com"
Appointment,Appointment with Dr Ruben in KOLAR on 2013-11-03 at 4:32 is confirmed. For queries call 1800 2821 3177. Your appt. might get delayed in case the doctor is attending an emergency.
Hotel,"Welcome to Kum Nye Massage salon and spa R.No. 384, 465, 479, 183 Ch.In 2013-03-17 21:40 Ch.out 2013-04-04 12:00."
Expiry,Maha Veer Auto Agency : Service of your car KA26K5316 is due in 71 days on 2015-02-28. Please contact us at 9543356866 to book a service.
PickUp,"Repair ref.no for your car is JC18711228 opened on 2009-12-14 18:26hrs,ETD of your car is 2009-12-15 4:56hrs and est.repair amt is Rs.903 Rgds, Lakshmi Auto Agency"
Cab,"Thank you for choosing KSRTC for 2011-11-18 at 1:27. Cab:KA12G1442 , Chauffer: Johnathan, Cell: 9132531723 will reach you. T&C apply, visit www.KSRTC.com"
Appointment,Appointment with Dr Liam in MANDYA on 2009-12-23 at 2:12 is confirmed. For queries call 1800 5711 3586. Your appt. might get delayed in case the doctor is attending an emergency.
Reservation,"[matt and jacks] Hi Alan, your reservation is confirmed for 20 people on 2011-08-11 at 9:58. We can hold your table for a maximum of 26 mins."
Train,"PNR:2112778533,TRAIN:8848,DOJ:2014-06-12,AC3,BPRH-BOKE,Dep:13:47, Dawson,B2 47 , Fare:4462,SC:10.0+PG+INS"
Cab,"Thank you for choosing Ola for 2011-07-31 at 5:23. Cab:KA33Q7434 , Chauffer: Ruben, Cell: 9627473864 will reach you. T&C apply, visit www.Ola.com"
Movie,"Hi Customer, Booking ID: WIE2L3K. Seats: PLATINUM-M9,M10,M11,M12,M13,M14,M15, 7 seat(s) for La La Land on 2009-11-28 17:38 at PVR: Soul Spirit Bellandur, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
Bus,"* KSRTC m-Ticket *  from: AGUMBE to: KOTTAYAM PsngrName: Colton TripCode: 2249AGUKOT PNR No.: J53749200 JnyDate: 2010-04-29 DepTime: 22:49  SeatNo.: 35, 36, 37, 11, 51, 20, 28  Class: AC chair  BoardingPt: AGUMBE Rly Station Txn Password: 8774 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Movie,"Hi Customer, Booking ID: WXZZIOV. Seats: SILVER-H10,H11,H12,H13,H14,H15,H16, 7 seat(s) for Suicide Squad on 2010-10-01 14:54 at PVR: Orion Gold, Rajajinagar. Please carry your CC/DC card which was used for booking tickets."
Cab,"Thank you for choosing taxiforsure for 2012-01-06 at 19:17. Cab:KA82Q8387 , Chauffer: Jeremiah, Cell: 9636361578 will reach you. T&C apply, visit www.taxiforsure.com"
Reservation,"[Nirala Sweets] Hi Dustin, your reservation is confirmed for 22 people on 2011-01-14 at 19:11. We can hold your table for a maximum of 34 mins."
Expiry,Aryan Auto Agency : Service of your car KA48K1836 is due in 18 days on 2015-01-17. Please contact us at 9512214225 to book a service.
Train,"PNR:2557777488,TRAIN:57466,DOJ:2015-04-30,AC3,BPO-BBAI,Dep:17:15, Nathaniel,B3 74 , Fare:8132,SC:10.0+PG+INS"
Delivery,"Dear Guest, Thanks for choosing Genex Tower. Order ID 6868. Delivery by 2014-05-21 21:57. Enjoy 29% discount on your next purchase. Code QAL8UT. T&C."
Appointment,"DEAR Ashton, THANK YOU FOR YOUR BOOKING (ORDER ID: 14538), YOUR ORDER HAS BEEN ASSIGNED TO Manuel(9128377534) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2014-05-28 at 19:29. FOR ASSISTANCE WHATSAPP US ON 8753481251."
Delivery,"Dear Guest, Thanks for choosing WÃƒâ€šÃ¯Â¿Â½rstelstand. Order ID 5153. Delivery by 2012-12-28 12:13. Enjoy 5% discount on your next purchase. Code JJDUP7. T&C."
Cab,"Thank you for choosing Ola for 2010-09-26 at 4:40. Cab:KA87I1566 , Chauffer: Brett, Cell: 9537465548 will reach you. T&C apply, visit www.Ola.com"
Train,"PNR:4342282461,TRAIN:1481,DOJ:2010-12-17,AC3,BLL-BEO,Dep:16:56, Gage,B6 57 , Fare:5021,SC:10.0+PG+INS"
Payment,Bill dated 2012-08-30 for Rs 312 has been generated for your Bsnl fixedline/broadband relationship no. 14118264. The same will reach you by 2012-09-02. Due date: 2012-09-14.
Expiry,Lakshmi Auto Agency : Service of your car KA33I1658 is due in 13 days on 2013-02-23. Please contact us at 9178621314 to book a service.
Bus,* KSRTC m-Ticket *  from: MERCARA MADIKERI to: Chennai PsngrName: Julian TripCode: 350MERChe PNR No.: J44060168 JnyDate: 2014-03-19 DepTime: 3:50  SeatNo.: 36  Class: AC Sleeper  BoardingPt: MERCARA MADIKERI Bus Stand Road Txn Password: 2816 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
Appointment,Appointment with Dr Hunter in Mangaluru on 2015-06-04 at 10:35 is confirmed. For queries call 1800 2542 7157. Your appt. might get delayed in case the doctor is attending an emergency.
Hotel,Welcome to Modoc National Wildlife Refuge R.No. 277 Ch.In 2014-09-20 18:57 Ch.out 2014-10-06 12:00.
Cab,"Thank you for choosing Ola for 2010-07-12 at 5:56. Cab:KA43T3122 , Chauffer: Gerardo, Cell: 9443186112 will reach you. T&C apply, visit www.Ola.com"
Hotel,"Welcome to Kaleida Health R.No. 472, 497, 516 Ch.In 2010-09-09 19:48 Ch.out 2010-09-21 12:00."
Payment,Bill dated 2013-06-10 for Rs 1077 has been generated for your Airtel fixedline/broadband relationship no. 72746654. The same will reach you by 2013-06-13. Due date: 2013-06-25.
Payment,Bill dated 2010-07-01 for Rs 968 has been generated for your Reliance fixedline/broadband relationship no. 75628448. The same will reach you by 2010-07-04. Due date: 2010-07-16.
Cab,"Thank you for choosing KSRTC for 2011-02-08 at 18:10. Cab:KA27H8382 , Chauffer: Martin, Cell: 9115266522 will reach you. T&C apply, visit www.KSRTC.com"
Train,"PNR:3251517885,TRAIN:4644,DOJ:2012-04-23,FC,AWR-ZZZZ,Dep:15:12, Logan,F7 7 , Fare:3595,SC:10.0+PG+INS"
Movie,"Hi Customer, Booking ID: W0LZNIL. Seats: GOLD-L10, 1 seat(s) for Moana on 2014-02-05 20:26 at PVR: Orion, Rajajinagar. Please carry your CC/DC card which was used for booking tickets."
Flight,The PNR for your Air India Flt 3E354 for MAA-GOP on 2014-06-14 at 2:29 hrs  is LJQT9H. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Delivery,"Dear Guest, Thanks for choosing Pancho 's Mexican Buffet. Order ID 3214. Delivery by 2011-10-18 14:27. Enjoy 13% discount on your next purchase. Code SGP6QU. T&C."
Flight,The PNR for your Air India Flt 2F511 for RAJ-TIR on 2014-05-26 at 5:15 hrs  is WQODRK. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Train,"PNR:1566375645,TRAIN:32477,DOJ:2011-07-15,AC3,AGA-BYR,Dep:12:52, Israel,B3 87 , Fare:746,SC:10.0+PG+INS"
Expiry,Bimal Auto Agency : Service of your car KA68D1415 is due in 34 days on 2011-10-21. Please contact us at 9736613873 to book a service.
Appointment,"DEAR Tristan, THANK YOU FOR YOUR BOOKING (ORDER ID: 67711), YOUR ORDER HAS BEEN ASSIGNED TO Omar(9855318827) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2010-02-20 at 17:50. FOR ASSISTANCE WHATSAPP US ON 8381464878."
Bus,"* KSRTC m-Ticket *  from: CHITRADURGA to: COONUR PsngrName: Brandon TripCode: 827CHICOO PNR No.: J91278491 JnyDate: 2011-12-11 DepTime: 8:27  SeatNo.: 48, 32, 50, 54, 57  Class: Non-AC chair  BoardingPt: CHITRADURGA Rly Station Txn Password: 8477 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Flight,The PNR for your JET Airways Flt 5F528 for DHM-TCR on 2010-02-11 at 10:57 hrs  is PFFXXY. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Cab,"Thank you for choosing ucabs for 2009-09-07 at 3:27. Cab:KA66N6187 , Chauffer: Kai, Cell: 9863488364 will reach you. T&C apply, visit www.ucabs.com"
Bus,"* KSRTC m-Ticket *  from: MANDYA to: Madurai PsngrName: Brayden TripCode: 1825MANMad PNR No.: J26321936 JnyDate: 2015-03-05 DepTime: 18:25  SeatNo.: 32, 1, 4, 15, 18, 51, 20  Class: Non-AC chair  BoardingPt: MANDYA Residency Road Txn Password: 1618 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Reservation,"[Elevation Burger] Hi Stephen, your reservation is confirmed for 19 people on 2011-11-14 at 9:24. We can hold your table for a maximum of 41 mins."
